Frequency,Channel A
(MHz),(dBu)

0.00000000,-40.97909000
0.03814697,-49.41492000
0.07629395,-71.57312000
0.11444092,-72.44009000
0.15258789,-65.19084000
0.19073486,-73.95816000
0.22888184,-68.99364000
0.26702881,-70.74762000
0.30517578,-72.31657000
0.34332275,-70.18101000
0.38146973,-80.70975000
0.41961670,-70.81468000
0.45776367,-68.00694000
0.49591064,-69.92892000
0.53405762,-77.69559000
0.57220459,-71.29948000
0.61035156,-76.38689000
0.64849854,-73.70641000
0.68664551,-76.64234000
0.72479248,-79.09211000
0.76293945,-77.95074000
0.80108643,-70.02122000
0.83923340,-76.09192000
0.87738037,-80.70412000
0.91552734,-82.79709000
0.95367432,-81.35934000
0.99182129,-82.07318000
1.02996826,-72.31609000
1.06811523,-73.64215000
1.10626221,-72.65265000
1.14440918,-72.40321000
1.18255615,-82.96436000
1.22070313,-75.67045000
1.25885010,-73.42019000
1.29699707,-68.46698000
1.33514404,-66.35878000
1.37329102,-68.58170000
1.41143799,-70.86306000
1.44958496,-76.02098000
1.48773193,-77.00036000
1.52587891,-68.99459000
1.56402588,-73.83897000
1.60217285,-78.00616000
1.64031982,-71.13157000
1.67846680,-67.51747000
1.71661377,-68.42810000
1.75476074,-74.36256000
1.79290771,-71.58580000
1.83105469,-70.63518000
1.86920166,-74.58835000
1.90734863,-79.38549000
1.94549561,-68.58497000
1.98364258,-65.54383000
2.02178955,-72.17780000
2.05993652,-73.81980000
2.09808350,-65.39201000
2.13623047,-64.72488000
2.17437744,-72.63388000
2.21252441,-77.36233000
2.25067139,-72.33060000
2.28881836,-73.84981000
2.32696533,-66.73713000
2.36511230,-63.05680000
2.40325928,-64.10799000
2.44140625,-68.55511000
2.47955322,-67.81851000
2.51770020,-67.41872000
2.55584717,-68.46353000
2.59399414,-76.99490000
2.63214111,-66.64220000
2.67028809,-67.69040000
2.70843506,-92.39160000
2.74658203,-72.76366000
2.78472900,-68.07906000
2.82287598,-69.41959000
2.86102295,-67.08948000
2.89916992,-66.56984000
2.93731689,-70.34514000
2.97546387,-66.58590000
3.01361084,-63.86007000
3.05175781,-65.35617000
3.08990479,-68.91792000
3.12805176,-70.49116000
3.16619873,-65.37768000
3.20434570,-68.49475000
3.24249268,-72.64213000
3.28063965,-73.68043000
3.31878662,-75.82751000
3.35693359,-79.83054000
3.39508057,-76.61860000
3.43322754,-72.62465000
3.47137451,-76.53394000
3.50952148,-72.78781000
3.54766846,-68.80748000
3.58581543,-71.53575000
3.62396240,-71.84094000
3.66210938,-71.91928000
3.70025635,-70.74180000
3.73840332,-75.31713000
3.77655029,-70.48029000
3.81469727,-73.44593000
3.85284424,-71.67639000
3.89099121,-82.15440000
3.92913818,-67.27386000
3.96728516,-65.97910000
4.00543213,-72.28736000
4.04357910,-69.92209000
4.08172607,-73.36543000
4.11987305,-73.16311000
4.15802002,-66.59995000
4.19616699,-62.33501000
4.23431396,-60.80812000
4.27246094,-63.06313000
4.31060791,-63.77744000
4.34875488,-62.66378000
4.38690186,-65.96912000
4.42504883,-74.68204000
4.46319580,-78.19994000
4.50134277,-71.11970000
4.53948975,-73.41003000
4.57763672,-77.92883000
4.61578369,-67.46346000
4.65393066,-68.61154000
4.69207764,-80.01969000
4.73022461,-74.05684000
4.76837158,-72.16296000
4.80651855,-70.12236000
4.84466553,-69.72021000
4.88281250,-66.37789000
4.92095947,-67.78312000
4.95910645,-76.37247000
4.99725342,-82.48519000
5.03540039,-82.89097000
5.07354736,-71.43419000
5.11169434,-72.87052000
5.14984131,-65.44834000
5.18798828,-70.52083000
5.22613525,-69.94968000
5.26428223,-72.73757000
5.30242920,-78.45969000
5.34057617,-77.01257000
5.37872314,-74.31480000
5.41687012,-76.18674000
5.45501709,-71.88003000
5.49316406,-66.52702000
5.53131104,-66.67831000
5.56945801,-68.55482000
5.60760498,-68.35257000
