Frequency,Channel A
(kHz),(dBu)

0.00000000,-37.02997000
0.03037179,-22.88810000
0.06074359,-21.05066000
0.09111538,-26.83721000
0.12148717,-31.05567000
0.15185897,-27.69913000
0.18223076,-32.66953000
0.21260256,-37.75156000
0.24297435,-36.18195000
0.27334614,-41.61391000
0.30371794,-53.57064000
0.33408973,-39.10014000
0.36446152,-37.00020000
0.39483332,-42.12623000
0.42520511,-44.29371000
0.45557691,-41.53736000
0.48594870,-47.79396000
0.51632049,-46.99688000
0.54669229,-45.49510000
0.57706408,-52.90613000
0.60743587,-57.64711000
0.63780767,-46.29846000
0.66817946,-45.58532000
0.69855126,-52.79060000
0.72892305,-59.21186000
0.75929484,-53.43079000
0.78966664,-56.60457000
0.82003843,-60.40498000
0.85041022,-64.79948000
0.88078202,-64.43007000
0.91115381,-55.70428000
0.94152561,-53.05113000
0.97189740,-56.35700000
1.00226919,-72.84148000
1.03264099,-69.35718000
1.06301278,-66.97250000
1.09338457,-63.52960000
1.12375637,-58.20118000
1.15412816,-57.54622000
1.18449996,-65.18260000
1.21487175,-66.57870000
1.24524354,-65.40144000
1.27561534,-70.89203000
1.30598713,-68.03063000
1.33635892,-64.78135000
1.36673072,-62.68669000
1.39710251,-61.44275000
1.42747431,-63.42187000
1.45784610,-65.26777000
1.48821789,-65.86369000
1.51858969,-70.24884000
1.54896148,-60.64211000
1.57933327,-61.72228000
1.60970507,-67.20551000
1.64007686,-60.36119000
1.67044866,-61.79634000
1.70082045,-63.71880000
1.73119224,-60.44468000
1.76156404,-62.54673000
1.79193583,-73.51930000
1.82230762,-69.92708000
1.85267942,-66.57824000
1.88305121,-71.81485000
1.91342301,-68.33249000
1.94379480,-63.19007000
1.97416659,-65.91200000
2.00453839,-71.40242000
2.03491018,-67.54977000
2.06528197,-68.85354000
2.09565377,-80.40540000
2.12602556,-64.57603000
2.15639736,-61.00344000
2.18676915,-64.50935000
2.21714094,-66.25002000
2.24751274,-62.47605000
2.27788453,-64.62064000
2.30825632,-65.64809000
2.33862812,-62.92700000
2.36899991,-64.56062000
2.39937171,-67.86479000
2.42974350,-64.88330000
2.46011529,-65.22227000
2.49048709,-71.22298000
2.52085888,-71.25732000
2.55123067,-70.28009000
2.58160247,-71.46269000
2.61197426,-71.51912000
2.64234606,-70.55431000
2.67271785,-78.13983000
2.70308964,-68.48981000
2.73346144,-63.80339000
2.76383323,-66.16772000
2.79420502,-76.18131000
2.82457682,-67.95755000
2.85494861,-65.94963000
2.88532041,-67.52332000
2.91569220,-66.62673000
2.94606399,-65.81297000
2.97643579,-72.32308000
3.00680758,-71.00838000
3.03717937,-66.43927000
3.06755117,-68.18144000
3.09792296,-72.67072000
3.12829476,-73.14698000
3.15866655,-76.18851000
3.18903834,-79.29034000
3.21941014,-81.36375000
3.24978193,-83.46532000
3.28015372,-81.28205000
3.31052552,-73.59435000
3.34089731,-74.20274000
3.37126911,-78.21098000
3.40164090,-78.63789000
3.43201269,-72.89274000
3.46238449,-72.95925000
3.49275628,-75.08902000
3.52312807,-72.93323000
3.55349987,-74.85053000
3.58387166,-77.57719000
3.61424346,-71.42941000
3.64461525,-71.80906000
3.67498704,-75.08638000
3.70535884,-77.38918000
3.73573063,-77.72385000
3.76610242,-75.65278000
3.79647422,-72.72605000
3.82684601,-74.11109000
3.85721781,-76.29014000
3.88758960,-75.88832000
3.91796139,-78.26494000
3.94833319,-83.96142000
3.97870498,-86.88332000
4.00907677,-75.08556000
