Frequency,Channel A
(kHz),(dBu)

0.00000000,-28.59577000
0.03037179,-20.53417000
0.06074359,-19.17286000
0.09111538,-27.45312000
0.12148717,-32.50169000
0.15185897,-26.03355000
0.18223076,-32.28195000
0.21260256,-39.60699000
0.24297435,-34.71832000
0.27334614,-38.87830000
0.30371794,-50.32909000
0.33408973,-36.78241000
0.36446152,-35.70348000
0.39483332,-43.44092000
0.42520511,-44.12991000
0.45557691,-39.27518000
0.48594870,-48.23571000
0.51632049,-47.08817000
0.54669229,-43.59985000
0.57706408,-48.45538000
0.60743587,-51.31180000
0.63780767,-43.47070000
0.66817946,-43.96893000
0.69855126,-53.89061000
0.72892305,-54.88043000
0.75929484,-51.00720000
0.78966664,-57.32278000
0.82003843,-60.80466000
0.85041022,-62.52820000
0.88078202,-62.11666000
0.91115381,-54.39338000
0.94152561,-51.10606000
0.97189740,-53.53299000
1.00226919,-65.26462000
1.03264099,-65.42680000
1.06301278,-66.82627000
1.09338457,-67.28642000
1.12375637,-56.84263000
1.15412816,-55.63119000
1.18449996,-64.85699000
1.21487175,-65.29269000
1.24524354,-61.68893000
1.27561534,-67.77425000
1.30598713,-79.77489000
1.33635892,-75.39517000
1.36673072,-71.28165000
1.39710251,-61.57326000
1.42747431,-57.86948000
1.45784610,-57.60989000
1.48821789,-62.65673000
1.51858969,-63.59784000
1.54896148,-58.27328000
1.57933327,-61.86248000
1.60970507,-69.52501000
1.64007686,-58.63017000
1.67044866,-62.21486000
1.70082045,-67.20091000
1.73119224,-59.47208000
1.76156404,-61.73569000
1.79193583,-76.36301000
1.82230762,-66.50555000
1.85267942,-64.16104000
1.88305121,-68.58668000
1.91342301,-71.71967000
1.94379480,-61.96463000
1.97416659,-65.07504000
2.00453839,-70.62409000
2.03491018,-61.90761000
2.06528197,-62.96917000
2.09565377,-79.29880000
2.12602556,-63.72643000
2.15639736,-60.59226000
2.18676915,-65.34242000
2.21714094,-65.69804000
2.24751274,-62.64962000
2.27788453,-66.90189000
2.30825632,-67.28150000
2.33862812,-64.31461000
2.36899991,-67.96415000
2.39937171,-67.48869000
2.42974350,-63.49828000
2.46011529,-65.87622000
2.49048709,-72.04936000
2.52085888,-72.06908000
2.55123067,-85.43089000
2.58160247,-75.89818000
2.61197426,-67.83998000
2.64234606,-65.40978000
2.67271785,-75.57623000
2.70308964,-66.94839000
2.73346144,-62.22488000
2.76383323,-65.65446000
2.79420502,-76.37601000
2.82457682,-67.50909000
2.85494861,-69.31290000
2.88532041,-75.87044000
2.91569220,-66.03252000
2.94606399,-64.37806000
2.97643579,-70.48924000
3.00680758,-76.52935000
3.03717937,-68.33047000
3.06755117,-71.16505000
3.09792296,-84.32825000
3.12829476,-75.67960000
3.15866655,-78.22486000
3.18903834,-73.77353000
3.21941014,-68.39642000
3.24978193,-68.03758000
3.28015372,-76.66858000
3.31052552,-74.41009000
3.34089731,-70.20566000
3.37126911,-73.06084000
3.40164090,-74.70020000
3.43201269,-69.82832000
3.46238449,-72.05714000
3.49275628,-71.93640000
3.52312807,-68.47829000
3.55349987,-70.69116000
3.58387166,-97.84316000
3.61424346,-72.21836000
3.64461525,-70.86832000
3.67498704,-72.46608000
3.70535884,-76.23612000
3.73573063,-80.02583000
3.76610242,-79.67061000
3.79647422,-73.89621000
3.82684601,-74.34332000
3.85721781,-77.26212000
3.88758960,-74.11866000
3.91796139,-73.08312000
3.94833319,-74.88921000
3.97870498,-88.66357000
4.00907677,-74.27421000
