Frequency,Channel D
(MHz),(dBu)

0.00000000,-69.35279000
0.03814697,-76.89872000
0.07629395,-92.48065000
0.11444092,-109.40840000
0.15258789,-112.06380000
0.19073486,-115.81820000
0.22888184,-108.08440000
0.26702881,-113.82510000
0.30517578,-114.99950000
0.34332275,-105.89420000
0.38146973,-102.94190000
0.41961670,-103.98990000
0.45776367,-103.10620000
0.49591064,-103.59340000
0.53405762,-109.16390000
0.57220459,-113.16650000
0.61035156,-110.23340000
0.64849854,-105.87390000
0.68664551,-104.78140000
0.72479248,-107.01540000
0.76293945,-117.54310000
0.80108643,-113.93880000
0.83923340,-110.91050000
0.87738037,-114.12520000
0.91552734,-118.64960000
0.95367432,-118.22870000
0.99182129,-123.95820000
1.02996826,-120.85180000
1.06811523,-108.85630000
1.10626221,-101.07850000
1.14440918,-98.80810000
1.18255615,-96.90862000
1.22070313,-95.76921000
1.25885010,-98.50943000
1.29699707,-102.84480000
1.33514404,-106.32660000
1.37329102,-100.35610000
1.41143799,-93.29582000
1.44958496,-90.46276000
1.48773193,-91.72688000
1.52587891,-91.42834000
1.56402588,-89.73898000
1.60217285,-91.61925000
1.64031982,-94.50710000
1.67846680,-97.96663000
1.71661377,-102.28240000
1.75476074,-99.39130000
1.79290771,-96.59763000
1.83105469,-96.83201000
1.86920166,-99.63105000
1.90734863,-99.28738000
1.94549561,-95.92690000
1.98364258,-98.42578000
2.02178955,-105.05480000
2.05993652,-101.93130000
2.09808350,-96.21112000
2.13623047,-94.99988000
2.17437744,-91.79786000
2.21252441,-90.44765000
2.25067139,-92.00565000
2.28881836,-92.74583000
2.32696533,-94.25983000
2.36511230,-99.53109000
2.40325928,-101.38940000
2.44140625,-96.32208000
2.47955322,-93.89264000
2.51770020,-91.82904000
2.55584717,-90.39691000
2.59399414,-90.52191000
2.63214111,-91.85413000
2.67028809,-94.26469000
2.70843506,-98.52950000
2.74658203,-100.65360000
2.78472900,-96.98505000
2.82287598,-93.33032000
2.86102295,-90.84708000
2.89916992,-90.64558000
2.93731689,-91.29236000
2.97546387,-92.30072000
3.01361084,-94.68370000
3.05175781,-98.95187000
3.08990479,-98.20183000
3.12805176,-93.60658000
3.16619873,-91.25856000
3.20434570,-90.08188000
3.24249268,-89.59802000
3.28063965,-89.62137000
3.31878662,-91.64140000
3.35693359,-94.39613000
3.39508057,-96.55499000
3.43322754,-97.00100000
3.47137451,-93.55518000
3.50952148,-90.55339000
3.54766846,-89.33824000
3.58581543,-88.81343000
3.62396240,-89.11923000
3.66210938,-90.91290000
3.70025635,-93.08189000
3.73840332,-95.99878000
3.77655029,-95.50914000
3.81469727,-92.45853000
3.85284424,-90.07066000
3.89099121,-89.10661000
3.92913818,-89.18399000
3.96728516,-89.54131000
4.00543213,-91.46104000
4.04357910,-94.18316000
4.08172607,-95.49491000
4.11987305,-93.89855000
4.15802002,-91.57280000
4.19616699,-89.90692000
4.23431396,-88.39067000
4.27246094,-87.82329000
4.31060791,-88.89680000
4.34875488,-90.62633000
4.38690186,-93.66356000
4.42504883,-96.01978000
4.46319580,-94.55003000
4.50134277,-92.49516000
4.53948975,-90.30008000
4.57763672,-88.78356000
4.61578369,-88.78709000
4.65393066,-89.27766000
4.69207764,-90.27019000
4.73022461,-92.03470000
4.76837158,-93.93275000
4.80651855,-93.28949000
4.84466553,-90.52824000
4.88281250,-87.97421000
4.92095947,-87.05674000
4.95910645,-86.69272000
4.99725342,-87.56729000
5.03540039,-89.16272000
5.07354736,-91.82163000
5.11169434,-95.27885000
5.14984131,-95.09116000
5.18798828,-91.37097000
5.22613525,-88.33925000
5.26428223,-86.18060000
5.30242920,-85.91820000
5.34057617,-86.94656000
5.37872314,-88.27587000
5.41687012,-89.96841000
5.45501709,-92.59378000
5.49316406,-92.53071000
5.53131104,-90.16936000
5.56945801,-87.65891000
5.60760498,-87.34740000
