Frequency,Channel A
(MHz),(dBu)

0.00000000,-10.07946000
0.00381470,-17.63063000
0.00762939,-33.84191000
0.01144409,-66.60704000
0.01525879,-68.33643000
0.01907349,-66.59514000
0.02288818,-76.17747000
0.02670288,-60.83338000
0.03051758,-56.00687000
0.03433228,-57.72518000
0.03814697,-61.26127000
0.04196167,-64.28014000
0.04577637,-67.22146000
0.04959106,-69.54003000
0.05340576,-64.03729000
0.05722046,-58.14685000
0.06103516,-56.60644000
0.06484985,-59.54843000
0.06866455,-63.41545000
0.07247925,-64.61076000
0.07629395,-73.97099000
0.08010864,-62.66711000
0.08392334,-61.65724000
0.08773804,-63.48415000
0.09155273,-61.14159000
0.09536743,-64.40617000
0.09918213,-63.61618000
0.10299683,-63.63078000
0.10681152,-64.84974000
0.11062622,-74.65134000
0.11444092,-69.50572000
0.11825562,-67.71110000
0.12207031,-72.44418000
0.12588501,-70.05815000
0.12969971,-65.79044000
0.13351440,-74.13131000
0.13732910,-64.79536000
0.14114380,-58.03593000
0.14495850,-60.46953000
0.14877319,-71.14522000
0.15258789,-76.97736000
0.15640259,-71.02459000
0.16021729,-67.01016000
0.16403198,-68.28514000
0.16784668,-69.22619000
0.17166138,-67.97775000
0.17547607,-72.04324000
0.17929077,-77.62758000
0.18310547,-77.73841000
0.18692017,-74.00481000
0.19073486,-72.33425000
0.19454956,-71.66918000
0.19836426,-71.17829000
0.20217896,-73.10565000
0.20599365,-68.81329000
0.20980835,-68.81599000
0.21362305,-79.71999000
0.21743774,-79.54391000
0.22125244,-81.48540000
0.22506714,-75.55437000
0.22888184,-71.42152000
0.23269653,-73.55698000
0.23651123,-65.36739000
0.24032593,-67.69630000
0.24414063,-71.96365000
0.24795532,-74.55752000
0.25177002,-79.86839000
0.25558472,-78.83947000
0.25939941,-72.28395000
0.26321411,-75.79575000
0.26702881,-75.66176000
0.27084351,-73.21622000
0.27465820,-80.42929000
0.27847290,-74.53099000
0.28228760,-77.83223000
0.28610229,-78.12572000
0.28991699,-76.43141000
0.29373169,-75.78816000
0.29754639,-76.85438000
0.30136108,-82.85229000
0.30517578,-84.47452000
0.30899048,-72.48943000
0.31280518,-74.48611000
0.31661987,-87.07169000
0.32043457,-77.64311000
0.32424927,-74.09328000
0.32806396,-78.33699000
0.33187866,-76.84431000
0.33569336,-69.92921000
0.33950806,-71.04369000
0.34332275,-74.94244000
0.34713745,-73.95598000
0.35095215,-72.48527000
0.35476685,-78.83865000
0.35858154,-77.61498000
0.36239624,-74.78070000
0.36621094,-77.44293000
0.37002563,-80.06464000
0.37384033,-74.29292000
0.37765503,-72.38809000
0.38146973,-80.15343000
0.38528442,-75.36971000
0.38909912,-70.84184000
0.39291382,-70.77336000
0.39672852,-69.13225000
0.40054321,-72.72854000
0.40435791,-69.20525000
0.40817261,-66.75424000
0.41198730,-81.08330000
0.41580200,-76.76415000
0.41961670,-78.84741000
0.42343140,-89.20287000
0.42724609,-78.55474000
0.43106079,-71.09196000
0.43487549,-67.60425000
0.43869019,-75.21016000
0.44250488,-83.66051000
0.44631958,-70.61023000
0.45013428,-65.72982000
0.45394897,-66.63372000
0.45776367,-75.27849000
0.46157837,-74.88319000
0.46539307,-68.44675000
0.46920776,-71.86110000
0.47302246,-86.22321000
0.47683716,-78.50741000
0.48065186,-83.29637000
0.48446655,-73.09185000
0.48828125,-72.49889000
0.49209595,-70.52529000
0.49591064,-74.11650000
0.49972534,-81.20441000
0.50354004,-75.15962000
0.50735474,-74.45023000
0.51116943,-73.97549000
0.51498413,-84.69791000
0.51879883,-76.84847000
0.52261353,-75.58974000
0.52642822,-71.17208000
0.53024292,-68.78671000
0.53405762,-74.53261000
0.53787231,-84.50993000
0.54168701,-76.20901000
0.54550171,-73.27243000
0.54931641,-79.69138000
0.55313110,-69.46165000
0.55694580,-71.84264000
0.56076050,-73.06537000
