Frequency,Channel A
(MHz),(dBu)

0.00000000,-24.51061000
0.03051758,-24.88276000
0.06103516,-30.13117000
0.09155273,-40.32065000
0.12207031,-55.09682000
0.15258789,-56.47524000
0.18310547,-60.34160000
0.21362305,-58.66496000
0.24414063,-58.04645000
0.27465820,-59.46555000
0.30517578,-64.68677000
0.33569336,-65.95842000
0.36621094,-61.20372000
0.39672852,-58.78454000
0.42724609,-58.31201000
0.45776367,-60.03136000
0.48828125,-62.29831000
0.51879883,-59.58364000
0.54931641,-57.13333000
0.57983398,-57.24258000
0.61035156,-60.38544000
0.64086914,-69.84425000
0.67138672,-64.86594000
0.70190430,-59.21155000
0.73242188,-56.61860000
0.76293945,-55.31479000
0.79345703,-55.49331000
0.82397461,-57.85839000
0.85449219,-63.80009000
0.88500977,-68.27704000
0.91552734,-63.25215000
0.94604492,-62.14787000
0.97656250,-62.82244000
1.00708008,-63.87426000
1.03759766,-66.54494000
1.06811523,-71.50547000
1.09863281,-68.39970000
1.12915039,-64.57591000
1.15966797,-63.42662000
1.19018555,-64.12474000
1.22070313,-65.38088000
1.25122070,-64.87067000
1.28173828,-63.75788000
1.31225586,-63.55709000
1.34277344,-63.34911000
1.37329102,-62.99706000
1.40380859,-63.29189000
1.43432617,-63.71004000
1.46484375,-63.34677000
1.49536133,-62.75145000
1.52587891,-62.57582000
1.55639648,-63.13657000
1.58691406,-65.49990000
1.61743164,-72.57738000
1.64794922,-71.33115000
1.67846680,-65.09644000
1.70898438,-63.68396000
1.73950195,-64.87105000
1.77001953,-66.82637000
1.80053711,-67.03716000
1.83105469,-66.52167000
1.86157227,-66.86486000
1.89208984,-67.89773000
1.92260742,-68.50311000
1.95312500,-67.82748000
1.98364258,-66.87016000
2.01416016,-66.54385000
2.04467773,-66.62270000
2.07519531,-66.90693000
2.10571289,-68.38368000
2.13623047,-72.20259000
2.16674805,-73.12439000
2.19726563,-69.45271000
2.22778320,-68.27048000
2.25830078,-68.75444000
2.28881836,-68.62337000
2.31933594,-67.46172000
2.34985352,-66.82856000
2.38037109,-66.98823000
2.41088867,-66.94413000
2.44140625,-66.59932000
2.47192383,-67.59864000
2.50244141,-70.07537000
2.53295898,-68.62983000
2.56347656,-65.92561000
2.59399414,-65.21056000
2.62451172,-65.76279000
2.65502930,-67.36424000
2.68554688,-70.14363000
2.71606445,-70.22144000
2.74658203,-68.24670000
2.77709961,-67.79939000
2.80761719,-68.20611000
2.83813477,-68.19533000
2.86865234,-67.41698000
2.89916992,-66.16550000
2.92968750,-65.13571000
2.96020508,-64.68259000
2.99072266,-64.65205000
3.02124023,-64.87803000
3.05175781,-65.22611000
3.08227539,-65.30547000
3.11279297,-64.87866000
3.14331055,-64.44107000
3.17382813,-64.81581000
3.20434570,-66.38363000
3.23486328,-67.85975000
3.26538086,-66.80024000
3.29589844,-65.18563000
3.32641602,-65.04733000
3.35693359,-66.99327000
3.38745117,-70.03081000
3.41796875,-68.36588000
3.44848633,-65.53954000
3.47900391,-64.20438000
3.50952148,-63.63209000
3.54003906,-63.48818000
3.57055664,-63.96679000
3.60107422,-65.16447000
3.63159180,-66.81221000
3.66210938,-67.70467000
3.69262695,-67.04203000
3.72314453,-66.54978000
3.75366211,-66.84568000
3.78417969,-66.64481000
3.81469727,-65.81669000
3.84521484,-65.81219000
3.87573242,-67.38977000
3.90625000,-70.44025000
3.93676758,-71.22550000
3.96728516,-68.24928000
3.99780273,-66.07184000
4.02832031,-65.03569000
4.05883789,-64.71981000
4.08935547,-65.17406000
4.11987305,-66.38417000
4.15039063,-67.30720000
4.18090820,-67.55144000
4.21142578,-68.78467000
4.24194336,-71.13389000
4.27246094,-70.37967000
4.30297852,-67.37042000
4.33349609,-65.26845000
4.36401367,-64.39339000
4.39453125,-64.74410000
4.42504883,-66.27765000
4.45556641,-69.00046000
4.48608398,-71.44250000
