Frequency,Channel A
(MHz),(dBu)

0.00000000,-33.62473000
0.03051758,-33.84923000
0.06103516,-38.52049000
0.09155273,-46.97284000
0.12207031,-60.76943000
0.15258789,-73.99841000
0.18310547,-71.30327000
0.21362305,-70.27184000
0.24414063,-70.70699000
0.27465820,-68.82043000
0.30517578,-66.60384000
0.33569336,-66.03408000
0.36621094,-67.61682000
0.39672852,-64.56814000
0.42724609,-60.33108000
0.45776367,-59.53738000
0.48828125,-60.02794000
0.51879883,-56.96333000
0.54931641,-51.61352000
0.57983398,-47.08123000
0.61035156,-43.98816000
0.64086914,-42.52647000
0.67138672,-42.77450000
0.70190430,-44.73896000
0.73242188,-48.64320000
0.76293945,-55.69720000
0.79345703,-66.21767000
0.82397461,-62.30205000
0.85449219,-62.17792000
0.88500977,-63.51849000
0.91552734,-65.30009000
0.94604492,-69.71838000
0.97656250,-72.32883000
1.00708008,-69.60063000
1.03759766,-69.78792000
1.06811523,-72.87738000
1.09863281,-77.83086000
1.12915039,-76.22429000
1.15966797,-88.03569000
1.19018555,-70.70380000
1.22070313,-68.56213000
1.25122070,-73.12900000
1.28173828,-83.89163000
1.31225586,-80.65756000
1.34277344,-80.14062000
1.37329102,-77.69612000
1.40380859,-76.01023000
1.43432617,-78.83955000
1.46484375,-93.51077000
1.49536133,-75.49638000
1.52587891,-73.77821000
1.55639648,-80.71901000
1.58691406,-75.16634000
1.61743164,-70.37756000
1.64794922,-71.70831000
1.67846680,-78.22074000
1.70898438,-80.44540000
1.73950195,-79.96340000
1.77001953,-80.79311000
1.80053711,-81.01098000
1.83105469,-79.80220000
1.86157227,-77.99465000
1.89208984,-78.79939000
1.92260742,-83.72360000
1.95312500,-92.05651000
1.98364258,-86.54015000
2.01416016,-86.67274000
2.04467773,-91.36623000
2.07519531,-85.32137000
2.10571289,-84.18598000
2.13623047,-92.32324000
2.16674805,-80.08881000
2.19726563,-77.95865000
2.22778320,-80.89577000
2.25830078,-84.23402000
2.28881836,-82.50963000
2.31933594,-81.65648000
2.34985352,-82.39087000
2.38037109,-81.20755000
2.41088867,-77.94524000
2.44140625,-75.86933000
2.47192383,-76.43385000
2.50244141,-80.47993000
2.53295898,-89.75383000
2.56347656,-99.37321000
2.59399414,-92.58601000
2.62451172,-81.71510000
2.65502930,-77.89462000
2.68554688,-76.86769000
2.71606445,-77.38527000
2.74658203,-79.09285000
2.77709961,-82.04063000
2.80761719,-83.53881000
2.83813477,-78.38518000
2.86865234,-75.28648000
2.89916992,-75.42960000
2.92968750,-77.92993000
2.96020508,-79.73405000
2.99072266,-79.50648000
3.02124023,-80.76995000
3.05175781,-85.28976000
3.08227539,-94.70677000
3.11279297,-94.92668000
3.14331055,-87.82027000
3.17382813,-80.42164000
3.20434570,-76.35417000
3.23486328,-75.10052000
3.26538086,-75.87193000
3.29589844,-77.49699000
3.32641602,-78.10488000
3.35693359,-78.12410000
3.38745117,-78.24852000
3.41796875,-77.91006000
3.44848633,-77.64553000
3.47900391,-78.54762000
3.50952148,-83.58316000
3.54003906,-94.56512000
3.57055664,-81.18138000
3.60107422,-77.90649000
3.63159180,-77.45471000
3.66210938,-79.85107000
3.69262695,-90.28285000
3.72314453,-87.35493000
3.75366211,-84.51958000
3.78417969,-91.54336000
3.81469727,-83.16936000
3.84521484,-80.95227000
3.87573242,-86.33239000
3.90625000,-85.43271000
3.93676758,-79.17094000
3.96728516,-78.17789000
3.99780273,-78.30249000
4.02832031,-78.10094000
4.05883789,-76.26789000
4.08935547,-73.56767000
4.11987305,-73.42422000
4.15039063,-76.76786000
4.18090820,-83.18592000
4.21142578,-93.77966000
4.24194336,-92.84166000
4.27246094,-87.90775000
4.30297852,-85.67855000
4.33349609,-84.47707000
4.36401367,-86.25703000
4.39453125,-91.28936000
4.42504883,-89.52554000
4.45556641,-90.34793000
4.48608398,-85.68158000
