Frequency,Channel A
(MHz),(dBu)

0.00000000,-10.03614000
0.00381470,-17.50696000
0.00762939,-33.03474000
0.01144409,-62.68758000
0.01525879,-66.70924000
0.01907349,-63.49957000
0.02288818,-60.84053000
0.02670288,-62.36613000
0.03051758,-69.62635000
0.03433228,-72.84952000
0.03814697,-66.67110000
0.04196167,-59.36926000
0.04577637,-52.55223000
0.04959106,-49.02411000
0.05340576,-53.31678000
0.05722046,-59.70478000
0.06103516,-61.37971000
0.06484985,-66.53117000
0.06866455,-77.68861000
0.07247925,-72.97488000
0.07629395,-62.27730000
0.08010864,-59.91594000
0.08392334,-66.28675000
0.08773804,-67.31950000
0.09155273,-62.95097000
0.09536743,-62.57077000
0.09918213,-59.25024000
0.10299683,-62.83704000
0.10681152,-65.17689000
0.11062622,-64.91963000
0.11444092,-71.37145000
0.11825562,-79.13184000
0.12207031,-72.15707000
0.12588501,-67.19290000
0.12969971,-67.45809000
0.13351440,-77.54379000
0.13732910,-63.65171000
0.14114380,-56.74786000
0.14495850,-58.92107000
0.14877319,-64.04567000
0.15258789,-68.61260000
0.15640259,-69.59245000
0.16021729,-66.80951000
0.16403198,-64.16541000
0.16784668,-65.14206000
0.17166138,-73.55483000
0.17547607,-81.29489000
0.17929077,-73.80697000
0.18310547,-74.32404000
0.18692017,-71.23283000
0.19073486,-64.87690000
0.19454956,-64.31008000
0.19836426,-69.23166000
0.20217896,-73.28083000
0.20599365,-72.38779000
0.20980835,-68.75461000
0.21362305,-66.00110000
0.21743774,-69.97636000
0.22125244,-79.65129000
0.22506714,-75.54968000
0.22888184,-74.62230000
0.23269653,-60.72266000
0.23651123,-57.09766000
0.24032593,-60.44853000
0.24414063,-69.35735000
0.24795532,-78.32514000
0.25177002,-76.14750000
0.25558472,-76.40997000
0.25939941,-77.46665000
0.26321411,-68.62111000
0.26702881,-67.47375000
0.27084351,-68.75328000
0.27465820,-72.36137000
0.27847290,-97.59513000
0.28228760,-71.05826000
0.28610229,-69.38795000
0.28991699,-72.85170000
0.29373169,-76.47115000
0.29754639,-103.25010000
0.30136108,-75.11710000
0.30517578,-73.15426000
0.30899048,-80.79785000
0.31280518,-69.96777000
0.31661987,-67.13300000
0.32043457,-68.75261000
0.32424927,-73.80920000
0.32806396,-82.83521000
0.33187866,-67.62116000
0.33569336,-66.79057000
0.33950806,-72.45050000
0.34332275,-87.98943000
0.34713745,-72.73958000
0.35095215,-69.75514000
0.35476685,-72.48141000
0.35858154,-79.65968000
0.36239624,-72.98295000
0.36621094,-70.32352000
0.37002563,-79.89976000
0.37384033,-78.33583000
0.37765503,-72.03027000
0.38146973,-70.32211000
0.38528442,-70.44900000
0.38909912,-72.20851000
0.39291382,-71.78874000
0.39672852,-68.23785000
0.40054321,-68.28280000
0.40435791,-69.69334000
0.40817261,-64.30999000
0.41198730,-64.98163000
0.41580200,-66.82790000
0.41961670,-67.56345000
0.42343140,-64.58146000
0.42724609,-65.95515000
0.43106079,-66.60458000
0.43487549,-63.80565000
0.43869019,-68.29640000
0.44250488,-73.98477000
0.44631958,-67.94015000
0.45013428,-71.08971000
0.45394897,-67.64503000
0.45776367,-67.36772000
0.46157837,-71.02132000
0.46539307,-64.81210000
0.46920776,-66.22820000
0.47302246,-65.76223000
0.47683716,-67.30941000
0.48065186,-74.65119000
0.48446655,-69.37640000
0.48828125,-70.21458000
0.49209595,-68.05478000
0.49591064,-66.68230000
0.49972534,-65.84815000
0.50354004,-64.23765000
0.50735474,-67.86641000
0.51116943,-71.87074000
0.51498413,-60.74115000
0.51879883,-53.89297000
0.52261353,-55.05832000
0.52642822,-65.51055000
0.53024292,-79.50565000
0.53405762,-71.25672000
0.53787231,-75.94181000
0.54168701,-83.17561000
0.54550171,-75.12628000
0.54931641,-71.46291000
0.55313110,-71.87480000
0.55694580,-69.98109000
0.56076050,-69.64761000
