Frequency,Channel A
(MHz),(dBu)

0.00000000,-71.98442000
0.03051758,-53.24622000
0.06103516,-49.75456000
0.09155273,-50.56129000
0.12207031,-53.96262000
0.15258789,-58.38584000
0.18310547,-65.31207000
0.21362305,-77.04893000
0.24414063,-67.42633000
0.27465820,-66.60246000
0.30517578,-65.78666000
0.33569336,-67.96329000
0.36621094,-74.21050000
0.39672852,-68.49734000
0.42724609,-72.56331000
0.45776367,-65.00371000
0.48828125,-59.00658000
0.51879883,-58.19107000
0.54931641,-61.71086000
0.57983398,-71.44245000
0.61035156,-60.44529000
0.64086914,-55.46591000
0.67138672,-53.73566000
0.70190430,-54.07162000
0.73242188,-56.09744000
0.76293945,-58.97475000
0.79345703,-61.08605000
0.82397461,-63.68437000
0.85449219,-71.36085000
0.88500977,-70.85807000
0.91552734,-62.99629000
0.94604492,-61.32919000
0.97656250,-63.83071000
1.00708008,-64.18066000
1.03759766,-59.93738000
1.06811523,-59.02554000
1.09863281,-61.14126000
1.12915039,-66.84753000
1.15966797,-78.13645000
1.19018555,-67.59280000
1.22070313,-65.95320000
1.25122070,-70.15993000
1.28173828,-82.00740000
1.31225586,-71.23359000
1.34277344,-69.26762000
1.37329102,-68.84122000
1.40380859,-68.82800000
1.43432617,-71.09167000
1.46484375,-72.40918000
1.49536133,-70.80046000
1.52587891,-70.82272000
1.55639648,-70.47996000
1.58691406,-67.17120000
1.61743164,-64.32001000
1.64794922,-63.73860000
1.67846680,-65.64593000
1.70898438,-69.61547000
1.73950195,-75.02608000
1.77001953,-76.14832000
1.80053711,-68.98369000
1.83105469,-66.30078000
1.86157227,-67.14801000
1.89208984,-70.12669000
1.92260742,-71.63026000
1.95312500,-71.53893000
1.98364258,-70.58611000
2.01416016,-70.20489000
2.04467773,-70.92570000
2.07519531,-69.35182000
2.10571289,-68.89828000
2.13623047,-72.32433000
2.16674805,-72.21474000
2.19726563,-68.92260000
2.22778320,-69.30753000
2.25830078,-72.12086000
2.28881836,-75.24329000
2.31933594,-78.94308000
2.34985352,-73.94416000
2.38037109,-69.60441000
2.41088867,-68.88746000
2.44140625,-69.99262000
2.47192383,-70.72785000
2.50244141,-72.17590000
2.53295898,-73.36364000
2.56347656,-71.67046000
2.59399414,-73.69160000
2.62451172,-96.08506000
2.65502930,-70.85738000
2.68554688,-66.04749000
2.71606445,-65.25457000
2.74658203,-67.84285000
2.77709961,-74.49265000
2.80761719,-76.67415000
2.83813477,-75.77928000
2.86865234,-77.21877000
2.89916992,-74.91115000
2.92968750,-73.98592000
2.96020508,-73.51587000
2.99072266,-70.08342000
3.02124023,-69.45689000
3.05175781,-73.99325000
3.08227539,-78.91631000
3.11279297,-78.61937000
3.14331055,-82.78786000
3.17382813,-68.59473000
3.20434570,-64.17692000
3.23486328,-63.24651000
3.26538086,-65.13376000
3.29589844,-70.26774000
3.32641602,-74.81744000
3.35693359,-73.35236000
3.38745117,-72.71409000
3.41796875,-71.63786000
3.44848633,-71.93734000
3.47900391,-72.54813000
3.50952148,-70.33628000
3.54003906,-68.54118000
3.57055664,-68.03613000
3.60107422,-68.49067000
3.63159180,-71.38018000
3.66210938,-75.40346000
3.69262695,-69.33554000
3.72314453,-66.48940000
3.75366211,-66.72950000
3.78417969,-68.95795000
3.81469727,-71.05920000
3.84521484,-68.93620000
3.87573242,-67.64011000
3.90625000,-69.95721000
3.93676758,-74.84193000
3.96728516,-72.86325000
3.99780273,-69.90190000
4.02832031,-68.68336000
4.05883789,-68.35734000
4.08935547,-67.02974000
4.11987305,-66.13225000
4.15039063,-67.53613000
4.18090820,-70.24067000
4.21142578,-70.39608000
4.24194336,-70.81348000
4.27246094,-74.81299000
4.30297852,-74.97718000
4.33349609,-69.66802000
4.36401367,-67.27454000
4.39453125,-67.16171000
4.42504883,-69.55577000
4.45556641,-75.75439000
4.48608398,-78.72303000
