Frequency,Channel A
(MHz),(dBu)

0.00000000,-10.08919000
0.03051758,-10.39499000
0.06103516,-15.33004000
0.09155273,-24.24654000
0.12207031,-38.03810000
0.15258789,-51.59523000
0.18310547,-53.80623000
0.21362305,-49.93989000
0.24414063,-49.61215000
0.27465820,-51.68762000
0.30517578,-53.38769000
0.33569336,-56.23013000
0.36621094,-55.26881000
0.39672852,-54.13485000
0.42724609,-55.76138000
0.45776367,-59.76030000
0.48828125,-61.39690000
0.51879883,-55.41914000
0.54931641,-52.74158000
0.57983398,-54.83525000
0.61035156,-59.83450000
0.64086914,-50.40326000
0.67138672,-47.72095000
0.70190430,-48.90988000
0.73242188,-51.88595000
0.76293945,-54.40668000
0.79345703,-56.30613000
0.82397461,-57.34581000
0.85449219,-56.52966000
0.88500977,-55.86422000
0.91552734,-55.40250000
0.94604492,-53.41047000
0.97656250,-51.36387000
1.00708008,-50.86121000
1.03759766,-52.29620000
1.06811523,-55.78590000
1.09863281,-60.85699000
1.12915039,-65.58166000
1.15966797,-64.77515000
1.19018555,-59.15281000
1.22070313,-54.91741000
1.25122070,-52.96684000
1.28173828,-52.85555000
1.31225586,-53.95706000
1.34277344,-55.80799000
1.37329102,-58.31696000
1.40380859,-61.37882000
1.43432617,-65.29971000
1.46484375,-74.02503000
1.49536133,-68.36333000
1.52587891,-61.60644000
1.55639648,-58.90738000
1.58691406,-57.69846000
1.61743164,-57.22680000
1.64794922,-57.31751000
1.67846680,-57.19318000
1.70898438,-56.36032000
1.73950195,-55.77090000
1.77001953,-56.44313000
1.80053711,-58.89447000
1.83105469,-62.00723000
1.86157227,-60.23596000
1.89208984,-57.05765000
1.92260742,-55.84635000
1.95312500,-56.95013000
1.98364258,-60.17409000
2.01416016,-60.26422000
2.04467773,-56.99168000
2.07519531,-55.50780000
2.10571289,-55.68169000
2.13623047,-56.96720000
2.16674805,-58.84560000
2.19726563,-60.26320000
2.22778320,-60.28719000
2.25830078,-59.55039000
2.28881836,-59.00687000
2.31933594,-58.97105000
2.34985352,-59.29202000
2.38037109,-59.99362000
2.41088867,-61.64437000
2.44140625,-65.07819000
2.47192383,-71.54443000
2.50244141,-82.70108000
2.53295898,-71.34344000
2.56347656,-64.87113000
2.59399414,-60.74940000
2.62451172,-58.64912000
2.65502930,-58.54002000
2.68554688,-60.36835000
2.71606445,-63.83083000
2.74658203,-66.69519000
2.77709961,-65.34837000
2.80761719,-63.03341000
2.83813477,-62.34346000
2.86865234,-63.96626000
2.89916992,-63.70852000
2.92968750,-59.08265000
2.96020508,-56.17672000
2.99072266,-55.13810000
3.02124023,-55.30009000
3.05175781,-56.06648000
3.08227539,-56.70101000
3.11279297,-56.69964000
3.14331055,-56.63546000
3.17382813,-57.00137000
3.20434570,-57.21140000
3.23486328,-56.93871000
3.26538086,-57.06750000
3.29589844,-58.22250000
3.32641602,-59.09847000
3.35693359,-57.76083000
3.38745117,-56.31023000
3.41796875,-55.94799000
3.44848633,-56.34697000
3.47900391,-57.06055000
3.50952148,-57.60190000
3.54003906,-57.20553000
3.57055664,-56.15563000
3.60107422,-55.54220000
3.63159180,-55.56376000
3.66210938,-55.31544000
3.69262695,-54.16381000
3.72314453,-52.75687000
3.75366211,-51.76827000
3.78417969,-51.54597000
3.81469727,-52.21412000
3.84521484,-53.37000000
3.87573242,-53.68321000
3.90625000,-52.66321000
3.93676758,-51.68187000
3.96728516,-51.55895000
3.99780273,-52.25694000
4.02832031,-53.02122000
4.05883789,-52.76460000
4.08935547,-51.74770000
4.11987305,-50.95219000
4.15039063,-50.74059000
4.18090820,-51.06905000
4.21142578,-51.73545000
4.24194336,-52.31956000
4.27246094,-52.40640000
4.30297852,-52.22758000
4.33349609,-52.34398000
4.36401367,-52.94878000
4.39453125,-53.57017000
4.42504883,-53.47213000
4.45556641,-52.97253000
4.48608398,-52.80650000
