Frequency,Channel A
(kHz),(dBu)

0.00000000,-37.64398000
0.03037179,-22.59421000
0.06074359,-21.77218000
0.09111538,-33.43485000
0.12148717,-30.03639000
0.15185897,-27.38151000
0.18223076,-31.70340000
0.21260256,-47.38465000
0.24297435,-39.39759000
0.27334614,-38.48931000
0.30371794,-41.40327000
0.33408973,-37.04602000
0.36446152,-39.07144000
0.39483332,-56.54469000
0.42520511,-41.42519000
0.45557691,-39.96951000
0.48594870,-44.87399000
0.51632049,-57.86817000
0.54669229,-45.87667000
0.57706408,-45.99087000
0.60743587,-48.03785000
0.63780767,-44.94167000
0.66817946,-47.42454000
0.69855126,-56.58678000
0.72892305,-50.21271000
0.75929484,-51.90620000
0.78966664,-72.07121000
0.82003843,-62.01322000
0.85041022,-63.59180000
0.88078202,-58.13185000
0.91115381,-61.17714000
0.94152561,-57.92009000
0.97189740,-58.20683000
1.00226919,-68.38386000
1.03264099,-68.06274000
1.06301278,-67.31398000
1.09338457,-68.15069000
1.12375637,-69.91980000
1.15412816,-59.97410000
1.18449996,-62.00142000
1.21487175,-71.32485000
1.24524354,-73.52961000
1.27561534,-68.87191000
1.30598713,-72.42270000
1.33635892,-79.57697000
1.36673072,-66.31202000
1.39710251,-62.85532000
1.42747431,-64.69820000
1.45784610,-59.88004000
1.48821789,-60.70603000
1.51858969,-61.74401000
1.54896148,-60.83985000
1.57933327,-66.44389000
1.60970507,-68.62143000
1.64007686,-60.94978000
1.67044866,-61.21948000
1.70082045,-66.73954000
1.73119224,-71.65421000
1.76156404,-62.71439000
1.79193583,-64.09051000
1.82230762,-68.11942000
1.85267942,-65.65898000
1.88305121,-70.68556000
1.91342301,-74.30160000
1.94379480,-65.69665000
1.97416659,-66.42530000
2.00453839,-72.33771000
2.03491018,-69.65587000
2.06528197,-66.45291000
2.09565377,-69.27425000
2.12602556,-66.08499000
2.15639736,-63.90873000
2.18676915,-73.32611000
2.21714094,-72.56363000
2.24751274,-65.68234000
2.27788453,-67.51229000
2.30825632,-78.18384000
2.33862812,-72.17687000
2.36899991,-69.32198000
2.39937171,-73.23922000
2.42974350,-78.64258000
2.46011529,-69.79198000
2.49048709,-73.62421000
2.52085888,-86.26054000
2.55123067,-77.37809000
2.58160247,-74.53385000
2.61197426,-70.80176000
2.64234606,-69.94071000
2.67271785,-72.88835000
2.70308964,-81.77879000
2.73346144,-67.97182000
2.76383323,-66.36668000
2.79420502,-73.44632000
2.82457682,-72.51197000
2.85494861,-66.59467000
2.88532041,-68.91776000
2.91569220,-81.15724000
2.94606399,-68.34285000
2.97643579,-69.15533000
3.00680758,-89.80809000
3.03717937,-70.06596000
3.06755117,-69.21679000
3.09792296,-75.26931000
3.12829476,-82.00323000
3.15866655,-77.67020000
3.18903834,-79.89977000
3.21941014,-81.97783000
3.24978193,-78.16324000
3.28015372,-73.60581000
3.31052552,-77.78769000
3.34089731,-73.86730000
3.37126911,-71.56871000
3.40164090,-75.38313000
3.43201269,-80.62054000
3.46238449,-72.51186000
3.49275628,-75.57047000
3.52312807,-83.77086000
3.55349987,-73.59275000
3.58387166,-74.54707000
3.61424346,-85.26070000
3.64461525,-77.99182000
3.67498704,-77.53692000
3.70535884,-79.48370000
3.73573063,-82.18953000
3.76610242,-81.32579000
3.79647422,-75.87758000
3.82684601,-75.82274000
3.85721781,-83.35509000
3.88758960,-80.38001000
3.91796139,-74.76022000
3.94833319,-75.94613000
3.97870498,-80.43999000
4.00907677,-92.37463000
