Frequency,Channel A
(kHz),(dBu)

0.00000000,-37.00292000
0.01523442,-40.79456000
0.03046883,-27.71129000
0.04570325,-20.64294000
0.06093766,-22.55028000
0.07617208,-32.70741000
0.09140649,-36.04581000
0.10664091,-35.60487000
0.12187532,-38.92640000
0.13710974,-30.13532000
0.15234415,-27.12298000
0.16757857,-32.95372000
0.18281298,-44.47626000
0.19804740,-42.08145000
0.21328181,-45.12273000
0.22851623,-45.02399000
0.24375064,-37.59053000
0.25898506,-38.43197000
0.27421947,-51.04708000
0.28945389,-50.94997000
0.30468830,-49.05387000
0.31992272,-70.18174000
0.33515713,-40.95613000
0.35039155,-36.51927000
0.36562596,-41.08682000
0.38086038,-52.20029000
0.39609479,-48.97050000
0.41132921,-50.55456000
0.42656362,-49.35574000
0.44179804,-40.80453000
0.45703245,-40.47536000
0.47226687,-49.15798000
0.48750128,-56.67665000
0.50273570,-54.02441000
0.51797011,-58.66517000
0.53320453,-50.82663000
0.54843894,-45.58580000
0.56367336,-49.21408000
0.57890777,-70.05431000
0.59414219,-53.82866000
0.60937660,-55.06201000
0.62461102,-62.60785000
0.63984543,-46.45257000
0.65507985,-44.77171000
0.67031426,-52.36816000
0.68554868,-61.75156000
0.70078309,-58.63409000
0.71601751,-66.33070000
0.73125192,-58.59907000
0.74648634,-50.92939000
0.76172075,-52.24483000
0.77695517,-58.96645000
0.79218958,-59.80711000
0.80742400,-60.94537000
0.82265841,-67.15535000
0.83789283,-64.31500000
0.85312724,-61.90841000
0.86836166,-66.32939000
0.88359607,-62.02890000
0.89883049,-57.94760000
0.91406490,-61.48885000
0.92929932,-61.97779000
0.94453373,-54.82358000
0.95976815,-56.45886000
0.97500256,-69.24982000
0.99023698,-72.99058000
1.00547139,-72.11880000
1.02070581,-80.10524000
1.03594022,-72.30532000
1.05117464,-67.98853000
1.06640905,-70.77200000
1.08164347,-69.48224000
1.09687788,-65.13869000
1.11211230,-67.82590000
1.12734671,-66.72633000
1.14258113,-59.38106000
1.15781554,-59.76772000
1.17304996,-68.36269000
1.18828437,-73.91615000
1.20351879,-69.60677000
1.21875320,-73.74828000
1.23398762,-70.61942000
1.24922203,-65.41270000
1.26445645,-68.91469000
1.27969086,-76.50291000
1.29492528,-74.57130000
1.31015969,-76.11055000
1.32539411,-78.75793000
1.34062852,-76.45961000
1.35586294,-75.66761000
1.37109735,-74.57191000
1.38633177,-66.11190000
1.40156618,-63.16891000
1.41680060,-68.96135000
1.43203502,-66.36414000
1.44726943,-59.62257000
1.46250385,-62.99516000
1.47773826,-81.08426000
1.49297268,-64.76377000
1.50820709,-64.49512000
1.52344151,-77.53635000
1.53867592,-63.46187000
1.55391034,-60.94244000
1.56914475,-69.21510000
1.58437917,-83.75554000
1.59961358,-78.45223000
1.61484800,-79.29496000
1.63008241,-68.65514000
1.64531683,-61.16345000
1.66055124,-63.34906000
1.67578566,-74.78402000
1.69102007,-71.82395000
1.70625449,-70.26154000
1.72148890,-76.29496000
1.73672332,-67.37987000
1.75195773,-63.66162000
1.76719215,-70.65811000
1.78242656,-74.71187000
1.79766098,-69.53446000
1.81289539,-73.96188000
1.82812981,-80.28802000
1.84336422,-67.86604000
1.85859864,-67.41925000
1.87383305,-74.99950000
1.88906747,-84.90624000
1.90430188,-82.58892000
1.91953630,-76.25888000
1.93477071,-68.83487000
1.95000513,-66.47534000
1.96523954,-72.22668000
1.98047396,-81.27358000
1.99570837,-81.57118000
2.01094279,-78.60544000
