Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.19194000
0.03037179,-20.71622000
0.06074359,-19.07252000
0.09111538,-24.98539000
0.12148717,-27.27928000
0.15185897,-24.61127000
0.18223076,-29.35725000
0.21260256,-35.80124000
0.24297435,-34.42042000
0.27334614,-38.86303000
0.30371794,-46.07294000
0.33408973,-37.21265000
0.36446152,-35.76583000
0.39483332,-41.42228000
0.42520511,-41.40324000
0.45557691,-39.07813000
0.48594870,-44.11938000
0.51632049,-46.55595000
0.54669229,-44.80322000
0.57706408,-50.23710000
0.60743587,-53.94091000
0.63780767,-46.15619000
0.66817946,-45.62220000
0.69855126,-50.52192000
0.72892305,-51.19770000
0.75929484,-50.28128000
0.78966664,-51.01959000
0.82003843,-50.81559000
0.85041022,-53.02470000
0.88078202,-56.14487000
0.91115381,-55.14666000
0.94152561,-56.78019000
0.97189740,-57.61552000
1.00226919,-70.87241000
1.03264099,-65.53148000
1.06301278,-60.24046000
1.09338457,-58.59623000
1.12375637,-56.04736000
1.15412816,-55.09584000
1.18449996,-62.27577000
1.21487175,-72.69475000
1.24524354,-71.92205000
1.27561534,-76.22218000
1.30598713,-75.11804000
1.33635892,-65.53040000
1.36673072,-62.49747000
1.39710251,-60.12845000
1.42747431,-59.25133000
1.45784610,-59.56108000
1.48821789,-87.10525000
1.51858969,-66.93677000
1.54896148,-58.67951000
1.57933327,-61.35437000
1.60970507,-65.10262000
1.64007686,-58.45579000
1.67044866,-59.35753000
1.70082045,-65.57451000
1.73119224,-64.79276000
1.76156404,-64.42805000
1.79193583,-66.88269000
1.82230762,-67.58641000
1.85267942,-65.45016000
1.88305121,-66.62634000
1.91342301,-69.26232000
1.94379480,-68.58609000
1.97416659,-73.28111000
2.00453839,-80.13068000
2.03491018,-70.31960000
2.06528197,-71.52621000
2.09565377,-74.23943000
2.12602556,-63.23080000
2.15639736,-60.33223000
2.18676915,-64.53111000
2.21714094,-65.09368000
2.24751274,-63.29937000
2.27788453,-66.79242000
2.30825632,-66.65572000
2.33862812,-64.10229000
2.36899991,-64.85512000
2.39937171,-66.67724000
2.42974350,-66.04099000
2.46011529,-67.50127000
2.49048709,-72.47370000
2.52085888,-69.47159000
2.55123067,-69.47288000
2.58160247,-68.91645000
2.61197426,-71.40310000
2.64234606,-68.55000000
2.67271785,-71.29673000
2.70308964,-73.24257000
2.73346144,-69.69115000
2.76383323,-69.86405000
2.79420502,-73.08792000
2.82457682,-67.94763000
2.85494861,-65.36176000
2.88532041,-66.56995000
2.91569220,-65.90356000
2.94606399,-65.90881000
2.97643579,-70.66632000
3.00680758,-70.22993000
3.03717937,-69.43221000
3.06755117,-70.40238000
3.09792296,-73.72626000
3.12829476,-73.65529000
3.15866655,-72.77501000
3.18903834,-71.74280000
3.21941014,-72.30775000
3.24978193,-77.25017000
3.28015372,-73.27156000
3.31052552,-74.69411000
3.34089731,-75.78056000
3.37126911,-74.39470000
3.40164090,-76.58174000
3.43201269,-71.39651000
3.46238449,-72.20454000
3.49275628,-73.96922000
3.52312807,-70.48901000
3.55349987,-69.62672000
3.58387166,-69.95059000
3.61424346,-69.62959000
3.64461525,-71.19256000
3.67498704,-76.21020000
3.70535884,-74.28056000
3.73573063,-72.77761000
3.76610242,-70.82778000
3.79647422,-69.98660000
3.82684601,-75.91629000
3.85721781,-84.21111000
3.88758960,-78.21338000
3.91796139,-80.39681000
3.94833319,-79.24506000
3.97870498,-83.59635000
4.00907677,-75.11344000
